time,open,high,low,close,tick_volume,spread,real_volume
2023-11-09,1949.74,1965.58,1944.62,1958.47,102608,5,0
2023-11-10,1958.19,1960.82,1932.99,1937.79,102859,5,0
2023-11-13,1938.46,1949.17,1931.62,1946.15,92820,5,0
2023-11-14,1946.17,1970.85,1943.71,1963.05,101770,5,0
2023-11-15,1962.91,1975.14,1955.4,1959.24,111375,5,0
2023-11-16,1960.08,1987.96,1956.43,1981.23,102470,5,0
2023-11-17,1980.62,1993.35,1978.61,1980.4,102352,5,0
2023-11-20,1977.92,1985.13,1965.44,1977.65,107527,5,0
2023-11-21,1978.08,2007.53,1977.75,1998.32,123940,5,0
2023-11-22,1998.57,2006.38,1986.91,1989.84,109376,5,0
2023-11-23,1989.18,1998.54,1989.13,1992.37,58507,5,0
2023-11-24,1992.68,2003.55,1991.42,2002.16,79657,5,0
2023-11-27,2001.78,2018.06,2000.48,2014.17,127623,5,0
2023-11-28,2013.5,2042.98,2011.64,2041.19,122806,5,0
2023-11-29,2041.0,2051.99,2035.31,2044.19,147746,5,0
2023-11-30,2044.59,2047.23,2031.35,2036.02,163148,5,0
2023-12-01,2036.59,2075.32,2033.89,2071.44,170020,5,0
2023-12-04,2072.16,2137.31,2020.02,2029.03,211328,5,0
2023-12-05,2029.77,2041.18,2009.82,2019.3,156979,5,0
2023-12-06,2019.58,2035.84,2017.12,2025.32,131077,5,0
2023-12-07,2025.67,2039.91,2020.2,2028.51,167582,5,0
2023-12-08,2028.48,2034.05,1994.62,2004.01,210232,5,0
2023-12-11,2004.78,2007.77,1975.8,1981.76,164947,5,0
2023-12-12,1981.91,1996.85,1977.2,1979.39,156284,5,0
2023-12-13,1980.63,2027.79,1973.02,2027.29,169283,5,0
2023-12-14,2024.57,2047.92,2023.9,2036.36,246848,5,0
2023-12-15,2036.16,2044.88,2015.62,2018.45,180603,5,0
2023-12-18,2020.15,2033.69,2015.98,2027.18,119330,5,0
2023-12-19,2027.55,2046.99,2021.71,2040.15,126927,5,0
2023-12-20,2039.78,2043.49,2027.45,2031.31,122214,5,0
2023-12-21,2031.89,2046.1,2031.43,2045.75,135388,5,0
2023-12-22,2048.81,2070.62,2046.7,2052.6,147863,5,0
2023-12-26,2053.23,2069.04,2053.23,2067.74,78986,5,0
2023-12-27,2068.25,2084.46,2061.47,2077.6,105269,5,0
2023-12-28,2077.95,2088.45,2064.65,2065.37,130179,5,0
2023-12-29,2066.44,2074.81,2058.21,2062.84,125275,5,0
2024-01-02,2063.84,2078.95,2055.84,2058.98,152675,5,0
2024-01-03,2058.79,2066.0,2030.65,2041.42,178951,5,0
2024-01-04,2041.97,2050.93,2036.25,2043.34,133938,5,0
2024-01-05,2043.41,2064.02,2024.42,2045.03,198680,5,0
